,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Father,2020,97,8.3,88.0,49184,
1,Sound of Metal,2019,120,7.8,82.0,77726,
2,Another Round,2020,117,7.8,80.0,69580,
3,Zack Snyder's Justice League,2021,242,8.1,54.0,276931,
4,The Trial of the Chicago 7,2020,129,7.8,76.0,140256,
5,Soul,2020,100,8.1,83.0,232693,
6,Avengers: Endgame,2019,181,8.4,78.0,865101,858.37
7,The Godfather,1972,175,9.2,100.0,1652566,134.97
8,Parasite,2019,132,8.6,96.0,599081,53.37
9,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,577151,142.5
10,The Shawshank Redemption,1994,142,9.3,80.0,2384498,28.34
11,Knives Out,2019,130,7.9,82.0,485551,165.36
12,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,447072,54.51
13,Sleepers,1996,147,7.6,49.0,196909,49.1
14,Avengers: Infinity War,2018,149,8.4,68.0,871231,678.82
15,Joker,2019,122,8.4,59.0,989721,335.45
16,Titanic,1997,194,7.8,75.0,1063462,659.33
17,The Dark Knight,2008,152,9.0,84.0,2347962,534.86
18,Fargo,1996,98,8.1,85.0,627291,24.61
19,Saving Private Ryan,1998,169,8.6,91.0,1258494,216.54
20,Dazed and Confused,1993,102,7.6,78.0,169212,7.99
21,Rush,2013,123,8.1,74.0,440751,26.95
22,Pulp Fiction,1994,154,8.9,94.0,1857194,107.93
23,Thor: Ragnarok,2017,130,7.9,74.0,609658,315.06
24,Interstellar,2014,169,8.6,74.0,1550809,188.02
25,The Wolf of Wall Street,2013,180,8.2,75.0,1218396,116.9
26,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,672033,317.58
27,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1688541,315.54
28,The Silence of the Lambs,1991,118,8.6,85.0,1294317,130.74
29,Get Out,2017,104,7.7,85.0,505775,176.04
30,Citizen Kane,1941,119,8.3,100.0,411226,1.59
31,Inception,2010,148,8.8,74.0,2106219,292.58
32,Bohemian Rhapsody,2018,134,8.0,49.0,465974,216.43
33,Captain America: The Winter Soldier,2014,136,7.7,70.0,752524,259.77
34,Blade Runner 2049,2017,164,8.0,81.0,476265,92.05
35,Jojo Rabbit,2019,108,7.9,58.0,316559,0.35
36,The Gentlemen,2019,113,7.8,51.0,259731,
37,Inglourious Basterds,2009,153,8.3,69.0,1293254,120.54
38,Stardust,2007,127,7.6,66.0,258024,38.63
39,Predator,1987,107,7.8,45.0,376523,59.74
40,Guardians of the Galaxy,2014,121,8.0,76.0,1060958,333.18
41,Alien,1979,117,8.4,89.0,800658,78.9
42,Back to the Future,1985,116,8.5,87.0,1077988,210.61
43,The Martian,2015,144,8.0,80.0,773283,228.43
44,No Country for Old Men,2007,122,8.1,91.0,873801,74.28
45,The Godfather: Part II,1974,202,9.0,90.0,1149888,57.3
46,Heat,1995,170,8.2,76.0,588168,67.44
47,1917,2019,119,8.3,78.0,456213,159.23
48,Captain America: Civil War,2016,147,7.8,75.0,681833,408.08
49,Deadpool 2,2018,119,7.7,66.0,494461,324.59
50,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,779521,381.01
51,The Hunt,2012,115,8.3,77.0,290759,0.69
52,The Green Mile,1999,189,8.6,61.0,1169794,136.8
53,The Departed,2006,151,8.5,85.0,1209505,132.38
54,The Matrix,1999,136,8.7,73.0,1705257,171.48
55,Mad Max: Fury Road,2015,120,8.1,90.0,898964,154.06
56,The Dark Knight Rises,2012,164,8.4,78.0,1540637,448.14
